moldId,counterId,dataAccId,similarityMetric,similarityMetricHr,procChanged
43916,EMA2252M10022,43963,0.897085,0.836039,0
43916,EMA2252M10022,43964,0.786796,0.836039,0
43916,EMA2252M10022,43965,0.897085,0.836039,0
43916,EMA2252M10022,43966,0.897085,0.836039,0
43916,EMA2252M10022,43967,0.892607,0.836039,0
43916,EMA2252M10022,43968,0.755929,0.836039,0
43916,EMA2252M10022,43969,0.893237,0.836039,0
43916,EMA2252M10022,43970,0.893237,0.836039,0
43916,EMA2252M10022,43971,0.782794,0.928423,0
43916,EMA2252M10022,43972,0.944911,0.928423,0
43916,EMA2252M10022,43973,0.842701,0.928423,0
43916,EMA2252M10022,44024,0.699854,0.928423,0
43916,EMA2252M10022,44025,0.808736,0.928423,0
43916,EMA2252M10022,44026,0.884538,0.928423,0
43916,EMA2252M10022,44027,0.989071,0.928423,0
43916,EMA2252M10022,44028,0.790569,0.901242,0
43916,EMA2252M10022,44029,0.866025,0.901242,0
43916,EMA2252M10022,44030,0.891133,0.901242,0
43916,EMA2252M10022,44037,0.971825,0.901242,0
43916,EMA2252M10022,44038,0.959645,0.901242,0
43916,EMA2252M10022,44039,0.723627,0.901242,0
43916,EMA2252M10022,44040,0.885422,0.901242,0
43916,EMA2252M10022,44041,0.923186,0.963925,0
